district,villages_total,villages_digitized,villages_pending_left,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,unknown_or_no_date
Attock,456,422,34,0,0,30,376,7,6,0,0,0,3
Okara,933,880,53,0,0,26,804,18,11,1,0,0,20
Bahawalpur,715,664,51,0,3,66,582,4,9,0,0,0,0
Bahawalnagar,1100,1012,88,0,0,0,24,879,49,60,0,0,0
Bhakkar,542,473,69,0,0,0,67,392,13,0,0,0,1
Pakpattan,561,546,15,0,0,0,25,473,39,9,0,0,0
Toba Tek Singh,535,510,25,0,0,24,451,4,17,10,4,0,0
Jehlum,595,541,54,0,40,144,356,1,0,0,0,0,0
Jhang,721,674,47,0,0,85,562,4,8,0,0,15,0
Chakwal,452,421,31,0,6,52,351,0,12,0,0,0,0
Chiniot,355,333,22,0,0,0,21,227,14,5,0,0,66
Hafizabad,428,418,10,2,173,216,23,0,0,1,0,0,3
Khanewal,682,616,66,0,0,0,38,519,31,7,0,2,19
Khushab,285,282,3,0,0,0,28,232,13,4,0,0,5
D.G.Khan,829,755,74,0,0,0,85,612,58,0,0,0,0
Rajanpur,535,491,44,0,0,0,65,385,41,0,0,0,0
Rawalpindi,1180,1055,125,0,0,9,647,67,332,0,0,0,0
Rahimyar Khan,1149,1052,97,0,0,7,1017,5,10,0,0,6,7
Sahiwal,532,502,30,0,0,0,29,426,26,21,0,0,0
Sargodha,849,773,76,0,0,99,662,0,8,2,0,0,2
Sialkot,1522,1410,112,0,0,70,489,43,4,0,1,0,803
Sheikhupura,682,624,58,0,0,79,527,4,2,0,0,12,0
Faisalabad,842,768,74,0,0,0,11,717,33,3,0,0,4
Kasur,639,580,59,0,6,60,495,5,9,4,0,0,1
Gujrat,1078,1014,64,0,0,17,634,323,40,0,0,0,0
Gujranwala,823,769,54,0,0,157,509,92,8,0,0,0,3
Lahore,323,218,105,4,75,47,44,34,10,4,0,0,0
Lodhran,443,434,9,3,121,280,11,8,7,0,0,0,4
Layyah,723,653,70,0,0,123,474,45,10,1,0,0,0
Muzaffargarh,973,872,101,0,0,4,460,329,54,6,0,0,19
Multan,543,490,53,0,0,33,169,255,31,0,0,2,0
Mandibahauddin,433,401,32,0,10,91,189,0,5,0,0,0,106
Mianwali,239,227,12,0,0,0,12,204,11,0,0,0,0
Narowal,1325,1178,147,0,0,95,796,0,0,0,0,0,287
Nankana Sahib,419,364,55,0,0,38,320,0,6,0,0,0,0
Vehari,779,701,78,0,0,0,3,650,48,0,0,0,0
